key,id,name,kana,type,sort_level,grade,group_join,permit,del
nckimport,481,福岡支店_農林水産環境事業第五班,福岡支店_農林水産環境事業第五班,1,408,,2,0,0
nckimport,480,福岡支店_農林水産環境事業第四班,福岡支店_農林水産環境事業第四班,1,407,,2,0,0
nckimport,479,福岡支店_農林水産環境事業第三班,福岡支店_農林水産環境事業第三班,1,406,,2,0,0
nckimport,478,福岡支店_窓口業務班,福岡支店_窓口業務班,1,405,,2,0,0
nckimport,477,福岡支店_農林水産環境事業第二班,福岡支店_農林水産環境事業第二班,1,404,,2,0,0
nckimport,476,福岡支店_農林水産環境事業第一班,福岡支店_農林水産環境事業第一班,1,403,,2,0,0
nckimport,475,福岡支店_農林水産環境事業第七班,福岡支店_農林水産環境事業第七班,1,402,,2,0,0
nckimport,474,福岡支店_農林水産環境事業第六班,福岡支店_農林水産環境事業第六班,1,401,,2,0,0
nckimport,473,福岡支店_業務第一班,福岡支店_業務第一班,1,400,,2,0,0
nckimport,472,福岡支店_総務班,福岡支店_総務班,1,399,,2,0,0
nckimport,470,高松支店_高知推進室,高松支店_高知推進室,1,398,,2,0,0
nckimport,469,高松支店_松山推進室,高松支店_松山推進室,1,397,,2,0,0
nckimport,468,高松支店_徳島推進室,高松支店_徳島推進室,1,396,,2,0,0
nckimport,467,高松支店_農林水産環境事業第二班,高松支店_農林水産環境事業第二班,1,395,,2,0,0
nckimport,466,高松支店_農林水産環境事業第一班,高松支店_農林水産環境事業第一班,1,394,,2,0,0
nckimport,465,高松支店_業務第三班,高松支店_業務第三班,1,393,,2,0,0
nckimport,464,高松支店_業務第二班,高松支店_業務第二班,1,392,,2,0,0
nckimport,463,高松支店_窓口業務班,高松支店_窓口業務班,1,391,,2,0,0
nckimport,462,高松支店_総務班,高松支店_総務班,1,390,,2,0,0
nckimport,461,高松支店_業務第一班,高松支店_業務第一班,1,389,,2,0,0
nckimport,459,岡山支店_山口推進室,岡山支店_山口推進室,1,388,,2,0,0
nckimport,458,岡山支店_広島推進室,岡山支店_広島推進室,1,387,,2,0,0
nckimport,457,岡山支店_松江推進室,岡山支店_松江推進室,1,386,,2,0,0
nckimport,456,岡山支店_鳥取推進室,岡山支店_鳥取推進室,1,385,,2,0,0
nckimport,453,岡山支店_事務課,岡山支店_事務課,1,383,,2,0,0
nckimport,452,岡山支店_事務資金班,岡山支店_事務資金班,1,382,,2,0,0
nckimport,451,岡山支店_窓口業務班,岡山支店_窓口業務班,1,381,,2,0,0
nckimport,450,岡山支店_公庫受託課,岡山支店_公庫受託課,1,380,,2,0,0
nckimport,449,岡山支店_農林水産環境事業第四班,岡山支店_農林水産環境事業第四班,1,379,,2,0,0
nckimport,448,岡山支店_農林水産環境事業第三班,岡山支店_農林水産環境事業第三班,1,378,,2,0,0
nckimport,447,岡山支店_農林水産環境事業第二班,岡山支店_農林水産環境事業第二班,1,377,,2,0,0
nckimport,446,岡山支店_農林水産環境事業第一班,岡山支店_農林水産環境事業第一班,1,376,,2,0,0
nckimport,445,岡山支店_営業支援二班,岡山支店_営業支援二班,1,375,,2,0,0
nckimport,444,岡山支店_営業支援一班,岡山支店_営業支援一班,1,374,,2,0,0
nckimport,443,岡山支店_システム企画班,岡山支店_しすてむ企画班,1,373,,2,0,0
nckimport,442,岡山支店_事務企画班,岡山支店_事務企画班,1,372,,2,0,0
nckimport,441,岡山支店_推進統括班,岡山支店_推進統括班,1,371,,2,0,0
nckimport,440,岡山支店_総務事務班,岡山支店_総務事務班,1,370,,2,0,0
nckimport,439,岡山支店_総務班,岡山支店_総務班,1,369,,2,0,0
nckimport,437,大阪支店_和歌山推進室,大阪支店_和歌山推進室,1,368,,2,0,0
nckimport,433,大阪支店_業務第二部,大阪支店_業務第二部,1,365,,2,0,0
nckimport,427,大阪支店_関西営業部,大阪支店_関西営業部,1,360,,2,0,0
nckimport,425,大阪支店_関西農林水産環境事業部,大阪支店_関西農林水産環境事業部,1,359,,2,0,0
nckimport,422,大阪支店_業務第三部,大阪支店_業務第三部,1,357,,2,0,0
nckimport,419,大阪支店_業務第一部,大阪支店_業務第一部,1,355,,2,0,0
nckimport,417,大阪支店_総務室,大阪支店_総務室,1,354,,2,0,0
nckimport,415,名古屋支店_静岡推進室,名古屋支店_静岡推進室,1,353,,2,0,0
nckimport,414,名古屋支店_窓口業務班,名古屋支店_窓口業務班,1,352,,2,0,0
nckimport,413,名古屋支店_営業第二班,名古屋支店_営業第二班,1,351,,2,0,0
nckimport,412,名古屋支店_営業第一班,名古屋支店_営業第一班,1,350,,2,0,0
nckimport,411,名古屋支店_業務第二班,名古屋支店_業務第二班,1,349,,2,0,0
nckimport,410,名古屋支店_農林水産環境事業班,名古屋支店_農林水産環境事業班,1,348,,2,0,0
nckimport,409,名古屋支店_業務第一班,名古屋支店_業務第一班,1,347,,2,0,0
nckimport,408,名古屋支店_総務班,名古屋支店_総務班,1,346,,2,0,0
nckimport,406,富山支店_金沢推進室,富山支店_金沢推進室,1,345,,2,0,0
nckimport,405,富山支店_新潟推進室,富山支店_新潟推進室,1,344,,2,0,0
nckimport,404,富山支店_農業金融センター,富山支店_農業金融せんたー,1,343,,2,0,0
nckimport,401,富山支店_窓口業務課,富山支店_窓口業務課,1,341,,2,0,0
nckimport,400,富山支店_公庫受託課,富山支店_公庫受託課,1,340,,2,0,0
nckimport,399,富山支店_農林水産環境事業第二班,富山支店_農林水産環境事業第二班,1,339,,2,0,0
nckimport,398,富山支店_農林水産環境事業第一班,富山支店_農林水産環境事業第一班,1,338,,2,0,0
nckimport,397,富山支店_人材育成班,富山支店_人材育成班,1,337,,2,0,0
nckimport,396,富山支店_JAサポート班,富山支店_JAさぽーと班,1,336,,2,0,0
nckimport,395,富山支店_推進企画班,富山支店_推進企画班,1,335,,2,0,0
nckimport,394,富山支店_システム企画班,富山支店_しすてむ企画班,1,334,,2,0,0
nckimport,393,富山支店_経営指導班,富山支店_経営指導班,1,333,,2,0,0
nckimport,392,富山支店_総括班,富山支店_総括班,1,332,,2,0,0
nckimport,391,富山支店_総務班,富山支店_総務班,1,331,,2,0,0
nckimport,387,千葉支店_窓口業務課,千葉支店_窓口業務課,1,329,,2,0,0
nckimport,386,千葉支店_公庫受託課,千葉支店_公庫受託課,1,328,,2,0,0
nckimport,385,千葉支店_総務班,千葉支店_総務班,1,327,,2,0,0
nckimport,384,千葉支店_農林水産環境事業班,千葉支店_農林水産環境事業班,1,326,,2,0,0
nckimport,383,千葉支店_業務二班,千葉支店_業務二班,1,325,,2,0,0
nckimport,382,千葉支店_業務一班,千葉支店_業務一班,1,324,,2,0,0
