key,id,p_key,p_id
csv,2100147,nckimport,111
csv,2100148,nckimport,112
csv,2100149,nckimport,113
csv,2100150,nckimport,114
csv,2100151,nckimport,115
csv,2100152,nckimport,116
csv,2100153,nckimport,117
csv,2100154,nckimport,118
csv,2100155,nckimport,119
csv,2100156,nckimport,120
csv,2100157,nckimport,133
csv,2100158,nckimport,133
csv,2100159,nckimport,133
csv,2100160,nckimport,134
csv,2100161,nckimport,135
csv,2100162,nckimport,136
csv,2100163,nckimport,137
csv,2100164,nckimport,138
csv,2100165,nckimport,139
csv,2100166,nckimport,140
csv,2100167,nckimport,141
csv,2100168,nckimport,142
csv,2100169,nckimport,143
csv,2100170,nckimport,144
csv,2100171,nckimport,144
csv,2100172,nckimport,144
csv,2100173,nckimport,145
csv,2100174,nckimport,146
csv,2100175,nckimport,147
csv,2100176,nckimport,148
csv,2100177,nckimport,149
csv,2100178,nckimport,150
csv,2100179,nckimport,151
csv,2100180,nckimport,151
csv,2100181,nckimport,151
csv,2100182,nckimport,152
csv,2100183,nckimport,153
csv,2100184,nckimport,154
csv,2100185,nckimport,155
csv,2100186,nckimport,156
csv,2100187,nckimport,157
csv,2100188,nckimport,158
csv,2100189,nckimport,159
csv,2100190,nckimport,160
csv,2100191,nckimport,161
csv,2100192,nckimport,162
csv,2100193,nckimport,162
csv,2100194,nckimport,162
csv,2100195,nckimport,163
csv,2100196,nckimport,164
csv,2100197,nckimport,165
csv,2100198,nckimport,166
csv,2100199,nckimport,167
csv,2100200,nckimport,167
csv,2100201,nckimport,167
csv,2100202,nckimport,168
csv,2100203,nckimport,169
csv,2100204,nckimport,170
csv,2100205,nckimport,171
csv,2100206,nckimport,172
csv,2100207,nckimport,172
csv,2100208,nckimport,172
csv,2100209,nckimport,173
csv,2100210,nckimport,174
csv,2100211,nckimport,175
csv,2100212,nckimport,176
csv,2100213,nckimport,177
csv,2100214,nckimport,177
csv,2100215,nckimport,177
csv,2100216,nckimport,178
csv,2100217,nckimport,179
csv,2100218,nckimport,180
csv,2100219,nckimport,180
csv,2100220,nckimport,180
csv,2100221,nckimport,181
csv,2100222,nckimport,182
csv,2100223,nckimport,182
csv,2100224,nckimport,182
csv,2100225,nckimport,183
csv,2100226,nckimport,184
csv,2100227,nckimport,184
csv,2100228,nckimport,184
csv,2100229,nckimport,185
csv,2100230,nckimport,186
csv,2100231,nckimport,186
csv,2100232,nckimport,186
csv,2100233,nckimport,187
csv,2100234,nckimport,188
csv,2100235,nckimport,189
csv,2100236,nckimport,190
csv,2100237,nckimport,191
csv,2100238,nckimport,191
csv,2100239,nckimport,191
csv,2100240,nckimport,192
csv,2100241,nckimport,193
csv,2100242,nckimport,193
csv,2100243,nckimport,193
csv,2100244,nckimport,194
csv,2100245,nckimport,195
csv,2100246,nckimport,196
csv,2100247,nckimport,197
csv,2100248,nckimport,198
csv,2100249,nckimport,199
csv,2100250,nckimport,200
csv,2100251,nckimport,200
csv,2100252,nckimport,200
csv,2100253,nckimport,201
